PairID,Participant ID,Condition,Visualization,mean_yaw,median_yaw,sd_yaw,mean_pitch,median_pitch,sd_pitch,mean_roll,median_roll,sd_roll,Dataset
Pair1,P1,Large Display,Search,17.4591451,10.9990515,7.933074969,27.18190625,24.06646344,3.704178734,24.43065511,22.32090268,7.018022001,Full Study 2
Pair1,P1,Large Display,Weather,15.07565746,5.900115409,8.242804647,29.40324343,32.03677547,1.156384822,23.89746679,13.67900547,5.382037062,Full Study 2
Pair1,P1,PerspectAR,Search,11.56223951,5.625427447,9.562400548,29.92273338,24.21896653,1.80724886,24.31573063,15.20586221,8.258168344,Full Study 1
Pair1,P1,PerspectAR,Weather,9.578743079,5.394881446,4.784603334,28.64838852,21.10527048,2.398229436,21.52526909,17.0163463,4.0172851,Full Study 1
Pair1,P2,Large Display,Search,6.008221245,4.907876497,3.962022471,28.39121519,26.13105542,1.532265559,20.98531172,22.24720648,1.153266534,Full Study 2
Pair1,P2,Large Display,Weather,8.079966835,5.332171847,7.815856739,26.86841348,18.66910632,2.605823117,23.40234111,20.45418898,5.662581224,Full Study 2
Pair1,P2,PerspectAR,Search,10.46515236,6.288455787,12.41981908,30.5758212,31.22200609,1.20611317,20.86568142,14.51143327,6.628336543,Full Study 1
Pair1,P2,PerspectAR,Weather,6.308327329,4.895686668,4.91242778,27.01799507,23.33383135,1.547331,18.48677304,15.00955723,3.09683196,Full Study 1
Pair2,P1,Large Display,Search,8.945106361,4.173113025,15.09163898,24.79758484,19.4110706,3.313531893,27.41032213,17.42044779,10.19817161,Full Study 2
Pair2,P1,Large Display,Weather,10.08247647,3.769101119,10.90804691,28.88801971,29.12858351,1.194580212,30.1768588,25.02087924,7.347856188,Full Study 2
Pair2,P1,PerspectAR,Search,10.8356561,3.724321871,7.621846904,34.59918087,31.85973332,2.900980925,27.40258614,19.33517489,3.621826881,Full Study 1
Pair2,P1,PerspectAR,Weather,16.15353738,3.867114485,8.535569876,34.34123478,28.73966549,2.428423959,30.48612773,18.54682884,6.927266565,Full Study 1
Pair2,P2,Large Display,Search,13.75246796,7.049022018,11.48382319,41.18794866,45.95137061,4.224346701,31.80767084,29.26291342,8.836630588,Full Study 2
Pair2,P2,Large Display,Weather,15.8000633,8.1029593,1.64600437,33.62544245,26.27816875,2.177990882,29.49021206,24.31655008,2.853950736,Full Study 2
Pair2,P2,PerspectAR,Search,13.2165623,7.255529822,17.47323246,37.61175978,34.80113393,2.827616358,27.87988185,22.60810371,14.08338967,Full Study 1
Pair2,P2,PerspectAR,Weather,15.09772541,5.695646923,8.78225902,38.46437735,37.25324027,3.08555999,31.4406065,25.80450789,8.065070932,Full Study 1
Pair3,P1,Large Display,Search,11.83174284,5.186719855,6.219268793,33.19843926,27.20039194,1.641375762,27.43265853,23.82282423,5.376580974,Full Study 1
Pair3,P1,Large Display,Weather,14.00867521,5.053530974,17.8386124,31.39588815,32.78758183,1.218157876,32.03384442,25.2532372,15.35836732,Full Study 1
Pair3,P1,PerspectAR,Search,19.12727345,7.157508088,9.588223127,39.98643079,37.85560635,0.597696362,37.28556298,33.08770865,8.815613098,Full Study 2
Pair3,P1,PerspectAR,Weather,14.35688009,5.722908313,5.246562537,38.39724727,37.71758824,0.607861826,31.39525349,29.19541366,4.567851979,Full Study 2
Pair3,P2,Large Display,Search,10.49356792,3.620767974,15.13445201,29.25949173,32.55688945,0.892538849,23.27185768,20.97421257,13.27487768,Full Study 1
Pair3,P2,Large Display,Weather,19.63046472,4.563805496,31.93994451,31.09908943,22.15716124,5.677026033,31.10201174,18.44847682,26.57572107,Full Study 1
Pair3,P2,PerspectAR,Search,10.68023774,5.371222035,5.671375461,31.03712935,29.18727211,2.149151278,23.91004744,21.45612393,4.290660909,Full Study 2
Pair3,P2,PerspectAR,Weather,9.555626811,4.74264242,5.050587712,30.82949181,24.84827486,0.408756944,22.07974321,20.81485899,4.8873947,Full Study 2
Pair4,P1,Large Display,Search,11.23695448,7.477862732,4.2948418,31.39657062,27.32894273,1.547327281,21.16619462,19.66390773,2.451571417,Full Study 1
Pair4,P1,Large Display,Weather,11.49566724,7.997027326,2.914373134,35.85155085,33.64669641,1.043334071,21.07908605,18.68996984,2.176500503,Full Study 1
Pair4,P1,PerspectAR,Search,14.46956885,6.660019327,6.788426739,47.87297164,47.02386126,0.701497605,21.23458098,13.89960609,6.322392279,Full Study 2
Pair4,P1,PerspectAR,Weather,14.05788643,7.681377162,7.264325828,45.14901352,48.69086982,3.204686163,26.29257827,22.91436323,6.172248425,Full Study 2
Pair4,P2,Large Display,Search,6.492233441,4.066387969,4.636346811,30.22366357,32.85608051,1.077309527,18.55241977,16.50359902,1.712421507,Full Study 1
Pair4,P2,Large Display,Weather,8.003211419,4.323265041,7.482786394,28.69837805,25.3497123,1.372456125,19.32865417,14.08318173,5.407180781,Full Study 1
Pair4,P2,PerspectAR,Search,7.525555229,4.614803392,4.868661739,34.31144119,32.52469117,2.068440414,17.2821884,14.87923345,3.184774109,Full Study 2
Pair4,P2,PerspectAR,Weather,8.264568535,4.108998351,11.95499686,31.12252653,30.00348194,1.61917114,21.49242192,18.14564891,9.542338809,Full Study 2
Pair5,P1,Large Display,Search,7.524280898,4.804264018,6.47160448,22.23596192,18.68949764,0.639621549,18.74839407,13.81957845,3.25762538,Full Study 1
Pair5,P1,Large Display,Weather,11.57569373,6.026358232,6.56305998,25.90743463,21.14115687,3.182302216,22.9182658,19.64480706,5.900363003,Full Study 1
Pair5,P1,PerspectAR,Search,11.35703621,5.148999875,6.740803908,32.21282826,22.76937244,1.774341922,22.48227836,16.08685461,5.789401078,Full Study 2
Pair5,P1,PerspectAR,Weather,7.548456953,5.106907144,1.712445826,25.37011377,18.73327681,0.956556358,22.05055802,22.12047278,1.122218853,Full Study 2
Pair5,P2,Large Display,Search,9.451588505,6.479798985,5.666046897,27.92692548,28.10605089,1.06921746,17.94404335,15.72338158,4.762807921,Full Study 1
Pair5,P2,Large Display,Weather,10.73153467,6.347880082,9.103191188,28.19555783,25.50122303,1.533584218,24.45674867,24.40472624,6.268213163,Full Study 1
Pair5,P2,PerspectAR,Search,30.39114552,12.08917708,12.82218742,42.96423691,42.96609361,2.467741876,40.59822382,30.7695799,13.18898905,Full Study 2
Pair5,P2,PerspectAR,Weather,33.68415309,7.242621095,25.6073042,38.14839556,33.60174609,2.894156176,42.99645366,31.04046276,24.42957732,Full Study 2
Pair6,P1,Large Display,Search,8.124075851,6.264792579,4.275637044,22.28059521,18.91928783,2.055386486,20.85627114,14.62816486,0.558165046,Full Study 1
Pair6,P1,Large Display,Weather,6.800532927,5.174540959,4.405058885,23.96113623,19.86129752,2.120543009,23.18452121,21.9144507,1.287116194,Full Study 1
Pair6,P1,PerspectAR,Search,9.726053826,5.887969966,7.634312822,27.8484415,20.9774071,5.028097898,21.87634193,14.2183751,4.300073446,Full Study 2
Pair6,P1,PerspectAR,Weather,11.0835231,3.864693937,12.26085289,31.18768561,24.78560221,2.187356775,29.3489176,22.20225349,8.525309334,Full Study 2
Pair6,P2,Large Display,Search,9.812939499,6.075322179,11.01702817,30.9717144,28.61168667,3.483380974,15.61825017,13.55214671,9.85740105,Full Study 1
Pair6,P2,Large Display,Weather,7.578666419,5.611928501,4.155124022,27.72544335,21.07654582,3.004087426,17.36668728,15.93048605,3.623309421,Full Study 1
Pair6,P2,PerspectAR,Search,10.36798843,3.478659828,9.980015495,34.79644387,28.37600111,1.878667549,17.87330535,12.36656337,9.87109404,Full Study 2
Pair6,P2,PerspectAR,Weather,4.367468148,2.23147913,8.388266312,28.49659573,19.61847863,2.414915631,17.46084098,16.98568691,5.760805271,Full Study 2
Pair7,P1,Large Display,Search,6.260912599,4.286811333,1.411320522,27.68450211,22.29628681,1.523973581,14.52329674,12.56791272,0.86467569,Full Study 2
Pair7,P1,Large Display,Weather,6.942363382,4.803474206,3.037944323,21.22943315,18.57840603,0.92033707,15.5127212,15.07305917,3.133263481,Full Study 2
Pair7,P1,PerspectAR,Search,8.513679367,4.988221564,6.106309616,33.23505408,25.97287564,1.403511268,15.87646206,13.10045608,4.496948979,Full Study 1
Pair7,P1,PerspectAR,Weather,8.965762585,4.479911312,8.177915022,24.69954681,16.13791311,2.388816099,20.70115659,17.09456325,6.869113126,Full Study 1
Pair7,P2,Large Display,Search,6.343987834,4.759331718,0.679344095,20.24967991,15.8676279,2.878338242,17.71773624,15.08734668,0.454951904,Full Study 2
Pair7,P2,Large Display,Weather,8.229297485,5.656701847,5.515397581,21.03195485,16.88531668,3.823709954,23.16350915,21.49558993,2.443259492,Full Study 2
Pair7,P2,PerspectAR,Search,8.738873717,4.638877429,1.25893096,19.86121669,13.60592574,1.530784681,20.93111908,17.51556491,1.283779593,Full Study 1
Pair7,P2,PerspectAR,Weather,7.322124911,5.18877492,3.813871437,19.1273061,14.19995005,2.181518146,23.95986353,22.50507305,3.264052764,Full Study 1
Pair8,P1,Large Display,Search,4.206898028,2.632202496,1.452945349,22.55113727,17.44604336,2.646187769,20.48565921,19.83935506,0.885220511,Full Study 2
Pair8,P1,Large Display,Weather,6.905397474,3.108898807,12.8933094,24.21420475,21.35537677,2.397227404,23.10913201,19.33999075,9.668564395,Full Study 2
Pair8,P1,PerspectAR,Search,9.176581608,2.475333166,21.69542212,25.973238,19.40721994,4.307615857,25.60271833,15.04903969,15.28288277,Full Study 1
Pair8,P1,PerspectAR,Weather,14.25846165,2.721502782,14.18354731,33.36678922,25.61853822,2.835003079,30.16728463,23.73329696,10.84473723,Full Study 1
Pair8,P2,Large Display,Search,12.06963977,9.848853424,3.170890599,32.84069269,30.6284904,0.368441092,22.2943993,19.92943437,1.16953138,Full Study 2
Pair8,P2,Large Display,Weather,11.89727381,8.251131573,2.292516436,29.06039261,24.54931695,0.459357874,22.94963632,22.49392252,1.853871776,Full Study 2
Pair8,P2,PerspectAR,Search,12.2462576,8.13468072,4.651946103,35.59680584,36.12523325,2.229226369,25.56132431,22.70277549,3.688475837,Full Study 1
Pair8,P2,PerspectAR,Weather,12.92429255,6.60279716,6.903808267,31.22955029,26.38427507,0.967167319,28.27897137,27.27312918,5.785606777,Full Study 1
Pair9,P1,Large Display,Search,7.221255779,3.213472939,11.6680494,21.39153367,19.22307386,0.634829168,12.62308568,9.287892844,10.22461092,Full Study 2
Pair9,P1,Large Display,Weather,10.11382807,4.829608518,5.822123623,26.97040217,18.92938522,2.904788498,15.91508346,13.68146559,4.64697683,Full Study 2
Pair9,P1,PerspectAR,Search,5.534929858,3.20766345,5.09462392,27.17792636,23.67255628,1.107516686,10.75100381,7.964700789,4.568986965,Full Study 1
Pair9,P1,PerspectAR,Weather,11.11768206,4.356921918,10.84935187,29.09400893,19.57958535,2.577219028,19.62857049,14.78889309,8.898469201,Full Study 1
Pair9,P2,Large Display,Search,10.18774598,3.64029202,8.494553339,25.67927279,23.71025115,0.780157793,19.47765467,15.06949703,6.556051283,Full Study 2
Pair9,P2,Large Display,Weather,23.58831087,6.467851764,6.61095509,42.92694716,46.18867668,0.705797314,32.82825393,20.62117747,6.348234387,Full Study 2
Pair9,P2,PerspectAR,Search,15.72038593,7.503272524,9.055584158,33.31114416,31.74149404,2.537564795,24.21500644,18.46358764,7.628789415,Full Study 1
Pair9,P2,PerspectAR,Weather,23.56829513,6.17256296,12.53391168,37.78591857,41.5462398,2.614966951,35.28603901,25.22543262,11.58011002,Full Study 1
Pair10,P1,Large Display,Search,17.94498321,11.10833359,8.270159313,40.22365622,43.28386911,1.53824171,29.03811998,25.65114767,4.872030692,Full Study 2
Pair10,P1,Large Display,Weather,14.86023105,8.601537308,1.462058219,31.06660408,25.60996639,0.429307539,32.46910492,31.35981181,2.025681056,Full Study 2
Pair10,P1,PerspectAR,Search,24.4928754,11.38100653,23.97803793,41.6420749,35.92942838,2.81978706,36.70475023,22.01169798,18.94840569,Full Study 1
Pair10,P1,PerspectAR,Weather,10.7424191,5.678773754,5.427449617,28.00996379,24.8869774,3.200822251,31.35487371,28.92965296,4.304484204,Full Study 1
Pair10,P2,Large Display,Search,10.25951096,7.459416261,2.045581149,27.9379993,24.44736842,3.425771784,19.93840371,20.25491933,0.862129925,Full Study 2
Pair10,P2,Large Display,Weather,10.44410767,7.276529866,2.517528219,25.82979786,22.28059151,0.504619481,21.93953814,21.86427594,2.244984008,Full Study 2
Pair10,P2,PerspectAR,Search,12.99515747,7.162144125,10.07039859,26.99412193,21.32384991,3.099449761,22.92934292,19.16090968,8.165569569,Full Study 1
Pair10,P2,PerspectAR,Weather,15.1183768,5.959204403,15.89507427,26.64738983,21.11787134,3.108705443,33.29731131,32.1740695,10.61993856,Full Study 1
Pair11,P1,Large Display,Search,12.98644,6.687139176,2.713757029,29.86085682,25.53354312,0.201928114,25.5019053,21.53134581,1.509592394,Full Study 2
Pair11,P1,Large Display,Weather,23.08521856,5.581830587,19.22783389,28.99829099,22.71073587,2.920676373,36.73975546,27.50020663,14.26777603,Full Study 2
Pair11,P1,PerspectAR,Search,14.5228455,5.403183451,7.137302731,28.85249176,23.96931872,3.304646947,24.90890975,19.18688147,3.717421919,Full Study 1
Pair11,P1,PerspectAR,Weather,10.57348587,4.023111614,10.0663943,25.99863527,17.72079391,2.894753701,27.85713408,25.26715601,8.560445716,Full Study 1
Pair11,P2,Large Display,Search,9.148992988,6.538704027,3.356026306,32.43416387,33.57257735,2.319216987,19.82088192,17.78097703,0.235831527,Full Study 2
Pair11,P2,Large Display,Weather,23.15911525,7.475943608,23.17063206,38.34447002,33.17410083,3.502987302,32.14791429,18.88524482,19.39831089,Full Study 2
Pair11,P2,PerspectAR,Search,18.4445272,9.20718369,8.501277017,39.95843622,39.89922349,2.301629084,27.59826762,20.02378101,6.22365105,Full Study 1
Pair11,P2,PerspectAR,Weather,16.92523403,9.694250036,5.69583062,38.22325509,37.9613263,1.230563388,26.18690367,22.13852408,5.2182762,Full Study 1
Pair12,P1,Large Display,Search,9.953251288,6.232340005,4.433432759,28.77567084,30.19254078,2.607387997,22.47155859,19.15627761,2.389181983,Full Study 1
Pair12,P1,Large Display,Weather,10.66076353,4.631992709,4.638790538,24.59907362,15.69736011,2.861181439,33.01962271,35.09711553,4.35635353,Full Study 1
Pair12,P1,PerspectAR,Search,30.0740974,7.863167092,16.56751643,38.97612609,30.6957265,5.028027598,41.33675799,23.44965734,13.50068567,Full Study 2
Pair12,P1,PerspectAR,Weather,23.15123902,7.366453561,18.75773427,37.90309702,31.65261091,2.202235364,36.05920497,30.4515262,15.55703492,Full Study 2
Pair12,P2,Large Display,Search,8.211796013,6.738850736,2.699997374,22.26843942,19.52361851,1.509285292,16.74515363,15.87518521,1.118073633,Full Study 1
Pair12,P2,Large Display,Weather,9.974496245,8.001441393,2.812218527,24.91165772,18.84567634,2.507365148,14.54709051,11.02083472,1.30405118,Full Study 1
Pair12,P2,PerspectAR,Search,15.64166906,9.20597843,16.25338888,28.66619566,26.52323871,3.434157994,25.5301622,20.30564517,14.55484024,Full Study 2
Pair12,P2,PerspectAR,Weather,14.56011121,8.621466862,5.859450343,34.09151848,32.7333209,1.37456717,22.60404854,16.69257773,5.711118068,Full Study 2
